route,count,module,verification_status,scope_bucket,scope_tag,failure_code,patcher
figure,20,,,,,,
mixed,8,,,,,,
table,16,,,,,,
text,16,,,,,,
unresolved,488,,,,,,
,20,figure,,,,,
,62,table,,,,,
,13,text,,,,,
,32,,rejected,,,,
,51,,unresolved,,,,
,5,,verified,,,,
,13,,,out_of_scope,,,
,43,,,recoverable_unresolved,,,
,5,,,strict_in_scope,,,
,27,,,useful_but_out_of_scope,,,
,13,,,,non_target_api,,
,28,,,,recoverable_api_basis,,
,12,,,,recoverable_area,,
,4,,,,recoverable_endpoint,,
,1,,,,recoverable_endpoint_time,,
,1,,,,recoverable_figure_digitization,,
,30,,,,recoverable_support_gap,,
,1,,,,recoverable_unit_normalization,,
,43,,,,recoverable_unresolved,,
,9,,,,useful_api_concentration_out_of_scope,,
,27,,,,useful_but_out_of_scope,,
,11,,,,useful_device_out_of_scope,,
,2,,,,useful_endpoint_out_of_scope,,
,13,,,,useful_study_type_out_of_scope,,
,45,,,,,ambiguous_api_concentration,
,2,,,,,figure_digitization_failed,
,56,,,,,insufficient_evidence,
,7,,,,,missing_api_concentration,
,31,,,,,missing_area,
,6,,,,,missing_endpoint,
,1,,,,,missing_endpoint_time,
,13,,,,,not_target_api,
,12,,,,,not_target_api_concentration,
,17,,,,,not_target_device,
,17,,,,,not_target_study_type,
,6,,,,,percent_only,
,3,,,,,unit_normalization_failed,
,5,,,,,,patch_api_concentration
,6,,,,,,patch_area
,18,,,,,,patch_endpoint_time
,33,,,,,,patch_endpoint_value
